,count
yeah,1303
hey,911
fuck,419
bitch,236
the,159
up,157
flow,156
game,154
money,107
you,85
my,77
gun,76
trap,67
hood,67
everyday,61
fight,60
bitches,60
mic,59
night,58
block,57
wey,52
team,51
nigga,48
showcase,44
feat,42
smoke,40
gangsta,39
sky,39
turn,38
ways,37
it,37
all,33
cops,32
track,32
of,32
pussy,32
mister,32
beat,31
peace,30
grinder,29
killer,29
snow,27
and,27
barksdale,27
dead,26
kill,25
check,25
fly,24
crew,24
niggas,24
arriba,23
eyes,23
bugatti,22
party,22
hasta,22
lilo,22
uh,22
ganja,22
hennessy,22
menders,22
blaze,21
so,21
amor,21
don't,20
stone,20
bam,20
pow,19
rolls,19
sosa,19
never,19
hits,19
rs,19
bs,19
hagar,19
lala,19
cojones,18
lv,18
bambi,18
know,18
down,18
ja,18
wire,18
god,17
loca,17
flex,17
ice,17
just,17
hoe,17
ka,17
whine,17
year,17
tn,16
i'm,16
number,16
rait,16
over,16
bloods,16
vita,16
chicos,16
mother,16
snap,16
that,16
get,15
shoes,15
is,15
vista,15
squad,15
many,15
vito,15
di,15
crips,15
fans,15
lunatic,15
swag,15
tits,14
babe,14
locks,14
noxious,14
pasta,14
purple,14
why,14
streams,14
g's,14
follow,14
dd,13
thc,13
come,13
awa,13
war,13
royce,13
batata,13
thug,13
woo,13
napoli,12
zin,12
mood,12
hiya,12
che,12
okay,12
day,12
wesson,12
fucked,12
proc,12
cb,11
pit,11
eden,11
wo,11
rotter,11
pd,11
shoo,11
states,11
right,11
it's,11
hustler,11
locos,11
finger,11
gyro,11
soldiers,10
who's,10
hoes,10
every,10
freestyles,10
feats,10
venom,10
seven,10
please,10
narcos,10
dew,10
middle,10
heat,10
lifestyle,10
skunk,10
biggie,10
blunt,10
welcome,10
goose,10
beats,10
vibe,9
tai,9
easy,9
again,9
flows,9
negro,9
gp,9
slide,9
what,9
male,9
apollo,9
chica,9
saber,9
rip,9
roshi,9
nudes,9
classic,9
fry,9
fresh,9
infos,8
we,8
from,8
streets,8
tete,8
animals,8
grey,8
vv,8
guns,8
around,8
roll,8
blah,8
charts,8
cdc,8
flag,8
real,8
blazes,8
call,8
chill,8
got,8
kamas,8
mamas,8
banks,8
gos,8
aston,8
now,8
click,8
yellow,8
ep,8
doggy,8
sinaloa,7
jumper,7
bi,7
with,7
side,7
beef,7
motherfucker,7
dirty,7
he,7
viva,7
iphone,7
likes,7
haters,7
sp,7
meme,7
oye,7
cut,7
north,7
trainer,7
happy,7
yoda,7
dar,7
del,7
california,7
chickens,7
blue,7
cyborgs,7
honey,7
fucking,7
ain't,7
blocks,7
raptor,7
chaines,7
guevara,7
bella,7
name,7
olympia,7
